decision_time,signal_time,signal,side,entry_time,entry_price,exit_time,exit_price,units,allocation_usd,gross_pnl,fee_usd,slippage_usd,net_pnl,capital_after,median_pred,low_pred,high_pred,median_ret,low_ret,high_ret,p_pos,predict_on_returns,exit_reason
2025-08-13 22:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,116904.54419752407,116904.54419752407,116904.54419752407,-0.04920119985067534,-0.04920119985067534,-0.04920119985067534,0.0,False,none
2025-08-13 23:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,116500.44950346045,116500.44950346045,116500.44950346045,-0.055195665761627724,-0.055195665761627724,-0.055195665761627724,0.0,False,none
2025-08-14 00:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,113510.4558582493,113510.4558582493,113510.4558582493,-0.083468350973535,-0.083468350973535,-0.083468350973535,0.0,False,none
2025-08-14 01:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,116904.54419752407,116904.54419752407,116904.54419752407,-0.05215864546878444,-0.05215864546878444,-0.05215864546878444,0.0,False,none
2025-08-14 02:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,113807.2633906027,113807.2633906027,113807.2633906027,-0.07969484862874222,-0.07969484862874222,-0.07969484862874222,0.0,False,none
2025-08-14 03:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,113481.68912144733,113481.68912144733,113481.68912144733,-0.07990659487120158,-0.07990659487120158,-0.07990659487120158,0.0,False,none
2025-08-14 04:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,114230.00528330157,114230.00528330157,114230.00528330157,-0.07132470420639105,-0.07132470420639105,-0.07132470420639105,0.0,False,none
2025-08-14 05:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,115901.89647062807,115901.89647062807,115901.89647062807,-0.051032675131730945,-0.051032675131730945,-0.051032675131730945,0.0,False,none
2025-08-14 06:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,114432.06664641725,114432.06664641725,114432.06664641725,-0.060270401660282844,-0.060270401660282844,-0.060270401660282844,0.0,False,none
2025-08-14 07:00:00,2025-08-06 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.0322941455729,113237.5892350344,113237.5892350344,113237.5892350344,-0.06972847935212163,-0.06972847935212163,-0.06972847935212163,0.0,False,none
